X,Y,H,S,V
49,218,4,1,97
50,218,2,7,105
51,218,1,4,112
52,218,0,2,111
53,218,-5,-2,103
54,218,-5,-4,109
55,218,-3,4,111
56,218,-1,4,110
57,218,-1,7,108
58,218,-1,8,107
59,218,0,0,106
60,218,0,-1,106
61,218,-1,3,105
62,218,-1,5,106
63,218,-1,4,107
64,218,-1,6,107
65,218,0,6,107
66,218,2,7,106
67,218,5,4,104
68,218,5,12,105
69,218,8,19,111
70,218,13,34,120
71,218,36,10,199
72,218,51,54,59
73,218,59,50,47
49,219,4,1,97
50,219,2,5,107
51,219,1,5,109
52,219,0,2,110
53,219,-5,-1,101
54,219,-5,-5,110
55,219,-3,0,112
56,219,-2,8,112
57,219,-1,8,107
58,219,-1,7,108
59,219,0,-3,106
60,219,-2,-2,105
61,219,-1,2,108
62,219,-1,5,105
63,219,-3,3,108
64,219,-3,4,107
65,219,-1,5,106
66,219,2,3,106
67,219,2,3,106
68,219,4,9,106
69,219,7,20,105
70,219,13,38,121
71,219,36,17,197
72,219,58,53,55
73,219,59,50,46
49,220,4,1,95
50,220,2,5,106
51,220,1,5,109
52,220,0,3,107
53,220,-5,-3,105
54,220,-4,-4,107
55,220,-3,1,114
56,220,-2,9,111
57,220,-1,6,112
58,220,-1,8,108
59,220,-1,-1,109
60,220,-2,-3,110
61,220,-1,-1,110
62,220,-3,3,110
63,220,-3,3,110
64,220,-3,4,109
65,220,-1,6,104
66,220,1,3,110
67,220,2,2,108
68,220,5,13,109
69,220,7,21,109
70,220,14,35,122
71,220,36,5,204
72,220,58,53,55
73,220,59,50,46
49,221,4,2,93
50,221,2,8,101
51,221,1,5,109
52,221,0,3,109
53,221,-4,-3,106
54,221,-4,-4,106
55,221,-3,2,112
56,221,-2,6,113
57,221,-1,6,112
58,221,-1,7,110
59,221,-1,-1,108
60,221,-2,-3,110
61,221,-3,0,111
62,221,-3,1,109
63,221,-3,3,109
64,221,-3,3,107
65,221,-3,5,106
66,221,0,1,109
67,221,3,6,108
68,221,4,13,109
69,221,5,17,114
70,221,12,35,115
71,221,36,7,199
72,221,51,53,53
73,221,59,50,47
49,222,4,1,95
50,222,2,7,102
51,222,1,5,108
52,222,0,3,108
53,222,-4,-3,106
54,222,-4,-4,107
55,222,-3,3,109
56,222,-2,6,114
57,222,-1,7,111
58,222,-2,9,110
59,222,-1,1,104
60,222,-2,-2,106
61,222,-3,1,108
62,222,-3,1,107
63,222,-3,3,108
64,222,-3,4,106
65,222,-3,4,107
66,222,-2,4,103
67,222,3,7,108
68,222,5,14,105
69,222,5,18,110
70,222,12,33,120
71,222,41,-13,206
72,222,51,53,50
73,222,59,50,48
49,223,4,2,94
50,223,2,6,105
51,223,2,6,107
52,223,-1,0,112
53,223,-4,-2,104
54,223,-4,-2,104
55,223,-3,3,108
56,223,-2,6,114
57,223,-1,6,112
58,223,-1,10,107
