X,Y,V
78,232,94
765,220,92
79,232,109
766,220,108
80,232,107
767,220,109
81,232,107
768,220,108
82,232,100
769,220,104
83,232,106
770,220,101
84,232,107
771,220,110
85,232,105
772,220,107
86,232,105
773,220,102
87,232,96
774,220,100
78,233,94
765,221,94
79,233,103
766,221,106
80,233,107
767,221,109
81,233,104
768,221,107
82,233,101
769,221,102
83,233,101
770,221,104
84,233,105
771,221,114
85,233,101
772,221,108
86,233,98
773,221,103
87,233,101
774,221,104
78,234,95
765,222,94
79,234,99
766,222,103
80,234,110
767,222,104
81,234,99
768,222,105
82,234,98
769,222,100
83,234,96
770,222,103
84,234,106
771,222,106
85,234,110
772,222,109
86,234,104
773,222,107
87,234,106
774,222,106
78,235,94
765,223,87
79,235,98
766,223,102
80,235,102
767,223,107
81,235,102
768,223,108
82,235,102
769,223,102
83,235,101
770,223,105
84,235,107
771,223,106
85,235,108
772,223,111
86,235,109
773,223,108
87,235,103
774,223,110
78,236,87
765,224,93
79,236,98
766,224,103
80,236,103
767,224,105
81,236,104
768,224,108
82,236,95
769,224,101
83,236,102
770,224,103
84,236,105
771,224,104
85,236,112
772,224,107
86,236,103
773,224,109
87,236,103
774,224,107
78,237,95
765,225,92
79,237,99
766,225,100
80,237,106
767,225,107
81,237,103
768,225,107
82,237,96
769,225,101
83,237,101
770,225,99
84,237,107
771,225,105
85,237,109
772,225,108
86,237,108
773,225,109
87,237,100
774,225,107
78,238,91
765,226,94
79,238,101
766,226,102
80,238,102
767,226,105
81,238,108
768,226,110
82,238,95
769,226,105
83,238,101
770,226,103
84,238,98
771,226,104
85,238,104
772,226,110
86,238,108
773,226,110
87,238,105
774,226,104
78,239,92
765,227,92
79,239,103
766,227,103
80,239,98
767,227,103
81,239,104
768,227,107
82,239,105
769,227,106
83,239,104
770,227,112
84,239,107
771,227,109
85,239,112
772,227,114
86,239,107
773,227,108
87,239,103
774,227,105
78,240,98
765,228,95
79,240,103
766,228,103
80,240,102
767,228,105
81,240,105
768,228,111
82,240,105
769,228,105
83,240,107
770,228,108
84,240,107
771,228,110
85,240,109
772,228,111
86,240,101
773,228,107
87,240,100
774,228,105
78,241,100
765,229,96
79,241,105
766,229,103
80,241,108
767,229,105
81,241,108
768,229,109
82,241,100
769,229,100
83,241,104
770,229,102
84,241,105
771,229,108
85,241,104
772,229,108
86,241,105
773,229,105
87,241,107
774,229,103
78,262,101
765,250,107
79,262,101
766,250,103
80,262,102
767,250,103
81,262,104
768,250,102
82,262,102
769,250,108
83,262,105
770,250,108
84,262,106
771,250,105
85,262,104
772,250,105
86,262,104
773,250,103
87,262,104
774,250,106
78,263,105
765,251,104
79,263,102
766,251,104
80,263,103
767,251,107
81,263,105
768,251,104
82,263,102
769,251,102
83,263,103
770,251,106
84,263,103
771,251,110
85,263,101
772,251,109
86,263,102
773,251,108
87,263,102
774,251,107
78,264,105
765,252,106
79,264,104
766,252,106
80,264,102
767,252,106
81,264,105
768,252,105
82,264,105
769,252,106
83,264,97
770,252,109
84,264,101
771,252,103
85,264,102
772,252,104
86,264,99
773,252,104
87,264,99
774,252,106
78,265,103
765,253,105
79,265,103
766,253,105
80,265,99
767,253,106
81,265,100
768,253,106
82,265,97
769,253,109
83,265,98
770,253,107
84,265,102
771,253,104
85,265,99
772,253,107
86,265,100
773,253,105
87,265,99
774,253,108
78,266,98
765,254,104
79,266,100
766,254,104
80,266,101
767,254,104
81,266,99
768,254,106
82,266,98
769,254,107
83,266,100
770,254,107
84,266,103
771,254,107
85,266,99
772,254,106
86,266,99
773,254,103
87,266,99
774,254,106
78,267,97
765,255,106
79,267,101
766,255,106
80,267,101
767,255,104
81,267,98
768,255,106
82,267,100
769,255,105
83,267,97
770,255,105
84,267,100
771,255,105
85,267,100
772,255,106
86,267,100
773,255,102
87,267,99
774,255,106
78,268,102
765,256,103
79,268,101
766,256,107
80,268,102
767,256,106
81,268,99
768,256,108
82,268,97
769,256,106
83,268,102
770,256,107
84,268,102
771,256,105
85,268,101
772,256,106
86,268,101
773,256,106
87,268,100
774,256,107
78,269,99
765,257,103
79,269,99
766,257,105
80,269,100
767,257,103
81,269,97
768,257,109
82,269,98
769,257,106
83,269,95
770,257,105
84,269,101
771,257,105
85,269,104
772,257,108
86,269,100
773,257,107
87,269,103
774,257,105
78,270,102
765,258,106
79,270,104
766,258,106
80,270,103
767,258,106
81,270,97
768,258,108
82,270,98
769,258,107
83,270,97
770,258,106
84,270,102
771,258,104
85,270,101
772,258,107
86,270,101
773,258,105
87,270,98
774,258,107
78,271,100
765,259,110
79,271,99
766,259,103
80,271,101
767,259,108
81,271,99
768,259,108
82,271,101
769,259,110
83,271,98
770,259,109
84,271,99
771,259,111
85,271,102
772,259,109
86,271,101
773,259,107
87,271,100
774,259,107
78,292,110
765,280,116
79,292,107
766,280,109
80,292,111
767,280,110
81,292,114
768,280,114
82,292,103
769,280,111
83,292,100
770,280,113
84,292,103
771,280,110
85,292,105
772,280,111
86,292,103
773,280,108
87,292,105
774,280,111
78,293,113
765,281,113
79,293,110
766,281,111
80,293,107
767,281,109
81,293,106
768,281,110
82,293,100
769,281,103
83,293,105
770,281,110
84,293,102
771,281,105
85,293,105
772,281,116
86,293,102
773,281,108
87,293,107
774,281,113
78,294,109
765,282,112
79,294,107
766,282,115
80,294,111
767,282,113
81,294,101
768,282,109
82,294,108
769,282,118
83,294,102
770,282,114
84,294,106
771,282,110
85,294,107
772,282,115
86,294,108
773,282,112
87,294,103
774,282,110
78,295,108
765,283,105
79,295,110
766,283,111
80,295,109
767,283,110
81,295,105
768,283,105
82,295,110
769,283,111
83,295,102
770,283,111
84,295,105
771,283,112
85,295,106
772,283,112
86,295,112
773,283,115
87,295,109
774,283,113
78,296,108
765,284,109
79,296,110
766,284,112
80,296,107
767,284,115
81,296,100
768,284,107
82,296,107
769,284,112
83,296,102
770,284,107
84,296,106
771,284,109
85,296,108
772,284,113
86,296,108
773,284,115
87,296,108
774,284,115
78,297,111
765,285,115
79,297,113
766,285,112
80,297,106
767,285,116
81,297,109
768,285,112
82,297,104
769,285,111
83,297,107
770,285,111
84,297,107
771,285,109
85,297,109
772,285,118
86,297,104
773,285,113
87,297,109
774,285,115
78,298,107
765,286,112
79,298,107
766,286,112
80,298,111
767,286,114
81,298,108
768,286,113
82,298,109
769,286,110
83,298,109
770,286,112
84,298,108
771,286,114
85,298,107
772,286,109
86,298,104
773,286,112
87,298,100
774,286,113
78,299,108
765,287,111
79,299,109
766,287,115
80,299,108
767,287,115
81,299,114
768,287,114
82,299,106
769,287,112
83,299,110
770,287,114
84,299,109
771,287,112
85,299,109
772,287,117
86,299,105
773,287,112
87,299,107
774,287,112
78,300,107
765,288,115
79,300,110
766,288,112
80,300,105
767,288,110
81,300,109
768,288,115
82,300,103
769,288,106
83,300,107
770,288,114
84,300,110
771,288,114
85,300,103
772,288,113
86,300,101
773,288,113
87,300,103
774,288,109
78,301,107
765,289,115
79,301,111
766,289,112
80,301,108
767,289,112
81,301,108
768,289,118
82,301,100
769,289,109
83,301,105
770,289,115
84,301,112
771,289,114
85,301,108
772,289,114
86,301,107
773,289,107
87,301,106
774,289,112
78,322,102
765,310,109
79,322,104
766,310,110
80,322,107
767,310,109
81,322,102
768,310,114
82,322,105
769,310,112
83,322,99
770,310,111
84,322,101
771,310,108
85,322,101
772,310,105
86,322,108
773,310,109
87,322,99
774,310,98
78,323,96
765,311,101
79,323,102
766,311,109
80,323,103
767,311,110
81,323,105
768,311,114
82,323,103
769,311,112
83,323,99
770,311,110
84,323,102
771,311,104
85,323,104
772,311,109
86,323,108
773,311,110
87,323,98
774,311,104
78,324,97
765,312,109
79,324,101
766,312,108
80,324,103
767,312,111
81,324,97
768,312,101
82,324,101
769,312,107
83,324,96
770,312,106
84,324,104
771,312,114
85,324,99
772,312,113
86,324,108
773,312,111
87,324,105
774,312,109
78,325,99
765,313,104
79,325,105
766,313,110
80,325,103
767,313,114
81,325,101
768,313,111
82,325,105
769,313,113
83,325,105
770,313,115
84,325,106
771,313,112
85,325,105
772,313,114
86,325,106
773,313,111
87,325,106
774,313,107
78,326,95
765,314,106
79,326,103
766,314,106
80,326,103
767,314,110
81,326,100
768,314,106
82,326,105
769,314,111
83,326,105
770,314,109
84,326,106
771,314,108
85,326,105
772,314,110
86,326,99
773,314,110
87,326,100
774,314,110
78,327,98
765,315,102
79,327,97
766,315,102
80,327,96
767,315,106
81,327,103
768,315,106
82,327,102
769,315,108
83,327,101
770,315,107
84,327,101
771,315,106
85,327,100
772,315,108
86,327,103
773,315,111
87,327,104
774,315,111
78,328,103
765,316,111
79,328,105
766,316,110
80,328,104
767,316,106
81,328,103
768,316,110
82,328,103
769,316,108
83,328,103
770,316,110
84,328,106
771,316,111
85,328,107
772,316,112
86,328,108
773,316,111
87,328,107
774,316,110
78,329,104
765,317,112
79,329,108
766,317,112
80,329,104
767,317,111
81,329,107
768,317,115
82,329,104
769,317,111
83,329,103
770,317,109
84,329,107
771,317,110
85,329,103
772,317,108
86,329,106
773,317,108
87,329,104
774,317,113
78,330,107
765,318,112
79,330,112
766,318,109
80,330,108
767,318,112
81,330,103
768,318,113
82,330,100
769,318,107
83,330,102
770,318,111
84,330,98
771,318,105
85,330,97
772,318,104
86,330,97
773,318,104
87,330,104
774,318,110
78,331,100
765,319,113
79,331,99
766,319,105
80,331,92
767,319,109
81,331,105
768,319,113
82,331,105
769,319,109
83,331,109
770,319,111
84,331,105
771,319,110
85,331,102
772,319,107
86,331,102
773,319,104
87,331,105
774,319,111
78,352,102
765,340,105
79,352,93
766,340,101
80,352,98
767,340,103
81,352,101
768,340,102
82,352,91
769,340,104
83,352,97
770,340,103
84,352,93
771,340,101
85,352,96
772,340,107
86,352,95
773,340,105
87,352,96
774,340,100
78,353,101
765,341,102
79,353,93
766,341,101
80,353,102
767,341,103
81,353,96
768,341,103
82,353,97
769,341,103
83,353,99
770,341,105
84,353,95
771,341,103
85,353,96
772,341,106
86,353,94
773,341,101
87,353,92
774,341,98
78,354,96
765,342,100
79,354,91
766,342,100
80,354,98
767,342,105
81,354,94
768,342,101
82,354,95
769,342,102
83,354,95
770,342,101
84,354,90
771,342,103
85,354,96
772,342,102
86,354,96
773,342,102
87,354,96
774,342,98
78,355,102
765,343,104
79,355,98
766,343,101
80,355,98
767,343,104
81,355,95
768,343,103
82,355,97
769,343,102
83,355,95
770,343,100
84,355,98
771,343,105
85,355,100
772,343,103
86,355,99
773,343,107
87,355,89
774,343,103
78,356,101
765,344,102
79,356,100
766,344,106
80,356,95
767,344,103
81,356,95
768,344,98
82,356,92
769,344,102
83,356,89
770,344,102
84,356,94
771,344,102
85,356,98
772,344,100
86,356,97
773,344,102
87,356,94
774,344,101
78,357,90
765,345,96
79,357,96
766,345,103
80,357,98
767,345,107
81,357,96
768,345,103
82,357,99
769,345,106
83,357,100
770,345,108
84,357,99
771,345,105
85,357,99
772,345,103
86,357,102
773,345,106
87,357,98
774,345,105
78,358,97
765,346,103
79,358,96
766,346,103
80,358,104
767,346,103
81,358,96
768,346,101
82,358,88
769,346,97
83,358,100
770,346,104
84,358,97
771,346,105
85,358,99
772,346,103
86,358,95
773,346,102
87,358,95
774,346,101
78,359,98
765,347,106
79,359,97
766,347,102
80,359,99
767,347,107
81,359,96
768,347,102
82,359,96
769,347,103
83,359,97
770,347,106
84,359,96
771,347,105
85,359,97
772,347,107
86,359,95
773,347,103
87,359,95
774,347,99
78,360,97
765,348,100
79,360,99
766,348,103
80,360,101
767,348,104
81,360,99
768,348,106
82,360,98
769,348,102
83,360,97
770,348,104
84,360,95
771,348,106
85,360,99
772,348,106
86,360,92
773,348,103
87,360,90
774,348,102
78,361,105
765,349,105
79,361,102
766,349,104
80,361,94
767,349,104
81,361,100
768,349,103
82,361,100
769,349,106
83,361,98
770,349,105
84,361,97
771,349,105
85,361,100
772,349,105
86,361,94
773,349,99
87,361,93
774,349,104
78,382,85
765,370,91
79,382,87
766,370,91
80,382,88
767,370,91
81,382,85
768,370,90
82,382,86
769,370,90
83,382,85
770,370,91
84,382,85
771,370,91
85,382,83
772,370,91
86,382,83
773,370,91
87,382,81
774,370,94
78,383,88
765,371,93
79,383,88
766,371,93
80,383,87
767,371,96
81,383,86
768,371,92
82,383,85
769,371,93
83,383,83
770,371,93
84,383,87
771,371,92
85,383,84
772,371,94
86,383,83
773,371,94
87,383,83
774,371,93
78,384,86
765,372,93
79,384,87
766,372,92
80,384,85
767,372,93
81,384,82
768,372,93
82,384,80
769,372,93
83,384,82
770,372,95
84,384,83
771,372,91
85,384,85
772,372,90
86,384,82
773,372,92
87,384,84
774,372,92
78,385,85
765,373,92
79,385,85
766,373,95
80,385,82
767,373,93
81,385,85
768,373,95
82,385,85
769,373,93
83,385,84
770,373,91
84,385,84
771,373,93
85,385,87
772,373,93
86,385,83
773,373,92
87,385,85
774,373,92
78,386,84
765,374,94
79,386,81
766,374,95
80,386,84
767,374,93
81,386,83
768,374,92
82,386,83
769,374,95
83,386,84
770,374,92
84,386,85
771,374,92
85,386,86
772,374,89
86,386,84
773,374,90
87,386,80
774,374,91
78,387,82
765,375,94
79,387,84
766,375,95
80,387,85
767,375,93
81,387,83
768,375,96
82,387,85
769,375,94
83,387,85
770,375,90
84,387,84
771,375,91
85,387,80
772,375,90
86,387,82
773,375,91
87,387,82
774,375,91
78,388,81
765,376,92
79,388,84
766,376,89
80,388,82
767,376,93
81,388,81
768,376,95
82,388,84
769,376,94
83,388,81
770,376,93
84,388,85
771,376,91
85,388,83
772,376,91
86,388,86
773,376,89
87,388,83
774,376,90
78,389,82
765,377,95
79,389,82
766,377,93
80,389,82
767,377,95
81,389,81
768,377,93
82,389,80
769,377,96
83,389,83
770,377,94
84,389,82
771,377,92
85,389,85
772,377,94
86,389,85
773,377,92
87,389,88
774,377,89
78,390,78
765,378,93
79,390,79
766,378,92
80,390,79
767,378,93
81,390,82
768,378,90
82,390,84
769,378,92
83,390,82
770,378,93
84,390,81
771,378,92
85,390,83
772,378,92
86,390,84
773,378,92
87,390,83
774,378,92
78,391,80
765,379,93
79,391,79
766,379,92
80,391,82
767,379,92
81,391,83
768,379,92
82,391,81
769,379,93
83,391,82
770,379,92
84,391,81
771,379,93
85,391,83
772,379,92
86,391,82
773,379,94
87,391,83
774,379,92
78,412,96
765,400,101
79,412,87
766,400,101
80,412,93
767,400,103
81,412,90
768,400,101
82,412,89
769,400,103
83,412,87
770,400,97
84,412,87
771,400,98
85,412,82
772,400,98
86,412,89
773,400,99
87,412,89
774,400,95
78,413,96
765,401,100
79,413,93
766,401,106
80,413,93
767,401,102
81,413,94
768,401,102
82,413,93
769,401,101
83,413,90
770,401,101
84,413,88
771,401,100
85,413,85
772,401,97
86,413,89
773,401,101
87,413,91
774,401,100
78,414,93
765,402,103
79,414,86
766,402,101
80,414,92
767,402,102
81,414,92
768,402,105
82,414,93
769,402,105
83,414,89
770,402,100
84,414,89
771,402,100
85,414,85
772,402,96
86,414,88
773,402,96
87,414,86
774,402,102
78,415,94
765,403,101
79,415,94
766,403,104
80,415,90
767,403,101
81,415,91
768,403,103
82,415,85
769,403,101
83,415,92
770,403,101
84,415,88
771,403,99
85,415,90
772,403,99
86,415,86
773,403,95
87,415,84
774,403,97
78,416,95
765,404,102
79,416,91
766,404,103
80,416,90
767,404,100
81,416,93
768,404,102
82,416,89
769,404,99
83,416,89
770,404,96
84,416,90
771,404,100
85,416,97
772,404,101
86,416,85
773,404,98
87,416,84
774,404,99
78,417,95
765,405,104
79,417,92
766,405,104
80,417,90
767,405,98
81,417,90
768,405,98
82,417,91
769,405,102
83,417,89
770,405,103
84,417,88
771,405,99
85,417,89
772,405,102
86,417,89
773,405,100
87,417,87
774,405,97
78,418,97
765,406,100
79,418,92
766,406,102
80,418,90
767,406,101
81,418,92
768,406,98
82,418,91
769,406,98
83,418,89
770,406,100
84,418,92
771,406,96
85,418,90
